,date,total,admitted,deaths
0,2020-03-13,804,115,9
1,2020-03-14,959,136,12
2,2020-03-15,1135,162,19
3,2020-03-16,1413,205,23
4,2020-03-17,1705,314,40
5,2020-03-18,2051,408,56
6,2020-03-19,2460,489,77
7,2020-03-20,3651,648,105
8,2020-03-21,3631,836,136
9,2020-03-22,4204,988,180
10,2020-03-23,4749,1230,213
11,2020-03-24,5560,1495,276
12,2020-03-25,6412,1836,356
13,2020-03-26,7431,2151,434
14,2020-03-27,8603,2500,546
15,2020-03-28,9762,2954,639
16,2020-03-29,10866,3483,771
17,2020-03-30,11750,3990,864
18,2020-03-31,12595,4712,1039
19,2020-04-01,13614,5159,1173
20,2020-04-02,14697,5784,1339
21,2020-04-03,15723,6285,1487
22,2020-04-04,16627,6621,1651
23,2020-04-05,17851,6874,1768
24,2020-04-06,18803,7134,1867
25,2020-04-07,19580,7426,2101
26,2020-04-08,20549,7734,2248
27,2020-04-09,21762,7971,2396
28,2020-04-10,23097,8196,2511
29,2020-04-11,24413,8386,2643
30,2020-04-12,25587,8582,2737
31,2020-04-13,26551,8729,2823
32,2020-04-14,27419,8939,2945
33,2020-04-15,28153,9127,3134
34,2020-04-16,29214,9309,3315
35,2020-04-17,30449,9465,3459
36,2020-04-18,31589,9594,3601
37,2020-04-19,32655,9704,3684
38,2020-04-20,33405,9779,3751
39,2020-04-21,34134,9897,3916
40,2020-04-22,34842,10021,4054
41,2020-04-23,35729,10158,4177
42,2020-04-24,36535,10281,4289
43,2020-04-25,37190,10381,4409
44,2020-04-26,37845,10456,4475
45,2020-04-27,38245,10521,4518
46,2020-04-28,38416,10609,4566
47,2020-04-29,38802,10685,4711
48,2020-04-30,39316,10769,4795
49,2020-05-01,39791,10854,4893
50,2020-05-02,40236,10947,4987
51,2020-05-03,40571,10988,5056
52,2020-05-04,40770,11024,5082
53,2020-05-05,41087,11103,5168
54,2020-05-06,41319,11123,5204
55,2020-05-07,41774,11156,5288
56,2020-05-08,42093,11227,5359
57,2020-05-09,42382,11285,5422
58,2020-05-10,42627,11307,5440
59,2020-05-11,42788,11343,5456
60,2020-05-12,42984,11378,5510
61,2020-05-13,43211,11430,5562
62,2020-05-14,43481,11457,5590
63,2020-05-15,43681,11492,5643
64,2020-05-16,43870,11537,5670
65,2020-05-17,43995,11552,5680
66,2020-05-18,44141,11579,5694
67,2020-05-19,44249,11613,5715
68,2020-05-20,44447,11627,5748
69,2020-05-21,44700,11640,5775
70,2020-05-22,44888,11649,5788
71,2020-05-23,45064,11659,5811
72,2020-05-24,45236,11672,5822
73,2020-05-25,45445,11680,5830
74,2020-05-26,45578,11690,5856
75,2020-05-27,45768,11697,5871
76,2020-05-28,45950,11713,5903
77,2020-05-29,46126,11722,5931
78,2020-05-30,46257,11727,5951
79,2020-05-31,46442,11735,5956
80,2020-06-01,46545,11744,5962
81,2020-06-02,46647,11750,5967
82,2020-06-03,46733,11759,5977
83,2020-06-04,46942,11771,5990
84,2020-06-05,47152,11782,6005
85,2020-06-06,47335,11785,6011
86,2020-06-07,47574,11789,6013
87,2020-06-08,47739,11794,6016
88,2020-06-09,47903,11800,6031
89,2020-06-10,48087,11805,6042
90,2020-06-11,48251,11808,6044
91,2020-06-12,48461,11813,6053
92,2020-06-13,48640,11822,6057
93,2020-06-14,48783,11828,6059
94,2020-06-15,48948,11831,6065
95,2020-06-16,49087,11834,6070
96,2020-06-17,49204,11836,6074
97,2020-06-18,49319,11835,6078
98,2020-06-19,49426,11846,6081
99,2020-06-20,49502,11846,6089
100,2020-06-21,49593,11849,6090
101,2020-06-22,49658,11851,6090
102,2020-06-23,49722,11853,6095
103,2020-06-24,49804,11859,6097
104,2020-06-25,49914,11863,6100
105,2020-06-26,50005,11868,6103
106,2020-06-27,50074,11868,6105
107,2020-06-28,50147,11871,6105
108,2020-06-29,50223,11874,6107
109,2020-06-30,50273,11877,6113
110,2020-07-01,50335,11878,6115
111,2020-07-02,50412,11878,6118
112,2020-07-03,50487,11882,6120
113,2020-07-04,50548,11883,6126
114,2020-07-05,50621,11884,6127
115,2020-07-06,50657,11884,6128
116,2020-07-07,50694,11886,6132
117,2020-07-08,50746,11889,6135
118,2020-07-09,50798,11887,6137
119,2020-07-10,50840,11888,6136
120,2020-07-11,50921,11891,6137
121,2020-07-12,51022,11893,6137
122,2020-07-13,51093,11894,6137
123,2020-07-14,51146,11892,6135
124,2020-07-15,51252,11897,6136
125,2020-07-16,51351,11898,6137
126,2020-07-17,51454,11894,6138
127,2020-07-18,51581,11895,6136
128,2020-07-19,51725,11898,6136
129,2020-07-20,51910,11900,6136
130,2020-07-21,52073,11902,6136
131,2020-07-22,52241,11902,6139
132,2020-07-23,52404,11905,6139
133,2020-07-24,52595,11904,6139
134,2020-07-25,52732,11906,6140
135,2020-07-26,52946,11908,6140
136,2020-07-27,53151,11913,6141
137,2020-07-28,53374,11919,6145
138,2020-07-29,53621,11922,6147
139,2020-07-30,53963,11927,6147
140,2020-07-31,54301,11934,6147
141,2020-08-01,54732,11937,6148
142,2020-08-02,55098,11943,6149
143,2020-08-03,55470,11949,6149
144,2020-08-04,55955,11959,6150
145,2020-08-05,56381,11964,6153
146,2020-08-06,56982,11965,6153
147,2020-08-07,57501,11969,6154
148,2020-08-08,57987,11971,6157
149,2020-08-09,58564,11978,6157
150,2020-08-10,59194,11984,6157
151,2020-08-11,59973,11994,6159
152,2020-08-12,60627,12003,6161
153,2020-08-13,61204,12009,6165
154,2020-08-14,61840,12020,6167
155,2020-08-15,62495,12027,6169
156,2020-08-16,63002,12033,6172
157,2020-08-17,63484,12038,6172
158,2020-08-18,63973,12042,6175
159,2020-08-19,64525,12060,6181
160,2020-08-20,65054,12070,6191
161,2020-08-21,65589,12088,6195
162,2020-08-22,66097,12099,6200
163,2020-08-23,66554,12107,6200
164,2020-08-24,67128,12111,6202
165,2020-08-25,67543,12126,6207
166,2020-08-26,68114,12145,6215
167,2020-08-27,68624,12152,6218
168,2020-08-28,69131,12161,6220
169,2020-08-29,69632,12163,6224
170,2020-08-30,70140,12166,6224
171,2020-08-31,70667,12177,6224
172,2020-09-01,71129,12182,6230
173,2020-09-02,71863,12188,6235
174,2020-09-03,72464,12193,6235
175,2020-09-04,73208,12200,6237
176,2020-09-05,73862,12205,6241
